origin_zip3,destination_zip3,trailer_type,carrier_type,avg_rate,min_rate,max_rate,count
282,303,Van,Broker,3.1799999999999997,2.19,4.15,2
303,100,Flatbed,Asset,3.72,2.29,4.215,2
303,100,Flatbed,Broker,3.01,2.8,3.3449999999999998,2
303,100,Reefer,Asset,0.0,0.0,0.0,2
303,100,Reefer,Broker,2.415,1.565,3.065,2
303,100,Van,Asset,3.175,1.905,7.01,2
303,100,Van,Broker,2.3600000000000003,1.51,2.8,2
303,191,Flatbed,Asset,3.7350000000000003,3.07,4.285,2
303,191,Flatbed,Broker,2.545,1.43,3.505,2
303,191,Reefer,Asset,2.48,1.895,2.9400000000000004,2
303,191,Reefer,Broker,2.48,1.66,3.27,2
303,191,Van,Asset,2.255,1.6400000000000001,2.55,2
303,191,Van,Broker,2.455,1.5750000000000002,3.46,2
303,282,Flatbed,Asset,3.965,2.59,5.32,2
303,282,Flatbed,Broker,3.355,2.06,6.279999999999999,2
303,282,Reefer,Asset,4.325,2.545,7.155,2
303,282,Reefer,Broker,4.24,3.0999999999999996,5.68,2
303,282,Van,Asset,3.0,1.79,5.43,2
303,282,Van,Broker,2.8899999999999997,2.59,3.88,2
303,331,Flatbed,Asset,3.1950000000000003,2.73,4.025,2
303,331,Flatbed,Broker,2.915,1.145,4.1,2
303,331,Reefer,Asset,3.355,2.58,3.9,2
303,331,Reefer,Broker,2.9050000000000002,1.6400000000000001,4.58,2
303,331,Van,Asset,3.105,2.05,4.99,2
303,331,Van,Broker,2.895,2.225,3.62,2
303,372,Flatbed,Asset,3.38,2.5300000000000002,4.82,2
303,372,Flatbed,Broker,3.39,2.09,4.470000000000001,2
303,372,Reefer,Asset,3.5700000000000003,2.835,4.54,2
303,372,Reefer,Broker,3.41,2.0300000000000002,5.38,2
303,372,Van,Asset,2.685,1.72,4.34,2
303,372,Van,Broker,2.98,1.92,4.3100000000000005,2
303,381,Flatbed,Asset,2.78,2.3,3.75,2
303,381,Flatbed,Broker,2.4299999999999997,1.91,3.12,2
303,381,Reefer,Asset,3.635,2.15,4.4399999999999995,2
303,381,Reefer,Broker,2.6950000000000003,1.65,4.405,2
303,381,Van,Asset,1.96,1.8,2.225,2
303,381,Van,Broker,1.77,1.21,2.17,2
303,432,Flatbed,Asset,2.645,2.0,3.23,2
303,432,Flatbed,Broker,2.38,1.72,2.92,2
303,432,Reefer,Asset,2.27,1.8199999999999998,3.8149999999999995,2
303,432,Reefer,Broker,2.51,1.71,3.3449999999999998,2
303,432,Van,Asset,2.09,1.22,3.24,2
303,432,Van,Broker,1.74,1.2,2.51,2
303,606,Flatbed,Asset,2.4699999999999998,1.77,3.01,2
303,606,Flatbed,Broker,2.23,1.38,2.77,2
303,606,Reefer,Asset,1.6949999999999998,1.16,2.115,2
303,606,Reefer,Broker,1.73,1.32,2.2800000000000002,2
303,606,Van,Asset,1.525,1.085,1.81,2
303,606,Van,Broker,1.35,0.74,2.16,2
303,750,Flatbed,Asset,2.725,1.645,4.045,2
303,750,Flatbed,Broker,1.93,1.53,2.5999999999999996,2
303,750,Reefer,Asset,1.88,1.24,2.27,2
303,750,Reefer,Broker,1.94,1.44,2.9299999999999997,2
