pulled_at,endpoint_type,origin_zip3,destination_zip3,trailer_type,carrier_type,include_fuel,include_quartiles,average,minimum,maximum,quartile1,quartile2,quartile3,orders,contributors,days_window
2026-01-01T17:18:52+00:00,sell,900,770,Van,Asset,True,True,2.2,1.36,3.35,2,2.2,2.34,29,9,63
2026-01-01T17:18:53+00:00,buy,900,770,Flatbed,Broker,True,True,1.65,1.3,2.13,1.49,1.65,1.66,5,5,7
2026-01-01T17:18:54+00:00,sell,900,770,Flatbed,Asset,True,True,3.21,1.42,8.96,1.44,1.69,2,28,7,63
2026-01-01T17:18:55+00:00,buy,900,770,Reefer,Broker,True,True,2.63,2.32,2.85,2.51,2.62,2.77,20,7,28
2026-01-01T17:18:57+00:00,sell,900,770,Reefer,Asset,True,True,2.45,2.04,2.66,2.41,2.45,2.51,30,7,182
2026-01-01T17:18:58+00:00,buy,770,900,Van,Broker,True,True,1.23,1.03,1.36,1.16,1.23,1.35,10,6,28
2026-01-01T17:18:59+00:00,sell,770,900,Van,Asset,True,True,3,1.65,5.04,1.73,2.87,4.27,11,5,63
2026-01-01T17:19:00+00:00,buy,770,900,Flatbed,Broker,True,True,2.46,1.31,4.71,1.81,2.27,2.44,13,6,7
2026-01-01T17:19:01+00:00,sell,770,900,Flatbed,Asset,True,True,3.81,2.06,9.66,2.77,3.05,3.14,9,8,182
2026-01-01T17:19:02+00:00,buy,770,900,Reefer,Broker,True,True,1.61,1.34,1.83,1.61,1.62,1.63,8,5,7
2026-01-01T17:19:03+00:00,sell,770,900,Reefer,Asset,True,True,2.05,1.27,2.3,2.11,2.12,2.12,88,6,182
2026-01-01T17:19:05+00:00,buy,606,750,Van,Broker,True,True,2.66,2.17,4.13,2.5,2.5,2.69,14,7,14
2026-01-01T17:19:06+00:00,sell,606,750,Van,Asset,True,True,2.73,2.05,3.24,2.38,2.94,2.95,18,8,14
2026-01-01T17:19:07+00:00,buy,606,750,Flatbed,Broker,True,True,2.32,2.12,2.8,2.14,2.27,2.43,10,6,28
2026-01-01T17:19:08+00:00,sell,606,750,Flatbed,Asset,True,True,3.06,2.17,5.37,2.46,2.69,2.81,11,6,28
2026-01-01T17:19:09+00:00,buy,606,750,Reefer,Broker,True,True,3.01,1.74,5.4,2.84,2.86,3.25,17,8,7
2026-01-01T17:19:10+00:00,sell,606,750,Reefer,Asset,True,True,2.69,2.31,3.14,2.68,2.69,2.7,48,10,63
2026-01-01T17:19:11+00:00,buy,750,606,Van,Broker,True,True,1.76,0.72,2.29,1.64,1.73,1.95,31,12,7
2026-01-01T17:19:12+00:00,sell,750,606,Van,Asset,True,True,2,1.4,2.14,2.05,2.06,2.07,37,5,28
2026-01-01T17:19:14+00:00,buy,750,606,Flatbed,Broker,True,True,2.14,1.97,2.27,2.06,2.16,2.21,9,5,28
2026-01-01T17:19:15+00:00,sell,750,606,Flatbed,Asset,True,True,2.59,1.89,4.58,2.2,2.49,2.64,14,7,182
2026-01-01T17:19:16+00:00,buy,750,606,Reefer,Broker,True,True,1.83,1.51,2.34,1.73,1.78,1.84,10,5,14
2026-01-01T17:19:17+00:00,sell,750,606,Reefer,Asset,True,True,1.83,1.68,2.02,1.74,1.82,1.91,10,7,14
2026-01-01T17:19:18+00:00,buy,606,770,Van,Broker,True,True,2.21,1.92,2.74,1.98,2.2,2.33,11,7,14
2026-01-01T17:19:20+00:00,sell,606,770,Van,Asset,True,True,2.21,1.81,2.8,2.05,2.27,2.28,19,7,28
2026-01-01T17:19:21+00:00,buy,606,770,Flatbed,Broker,True,True,2.1,1.85,2.5,1.98,2.07,2.2,8,5,14
2026-01-01T17:19:22+00:00,sell,606,770,Flatbed,Asset,True,True,2.62,1.46,3.05,2.65,2.79,2.84,27,9,63
2026-01-01T17:19:23+00:00,buy,606,770,Reefer,Broker,True,True,2.87,2.53,3.27,2.64,2.86,3.09,10,5,7
2026-01-01T17:19:24+00:00,sell,606,770,Reefer,Asset,True,True,2.63,2.42,3.25,2.46,2.46,2.54,5,5,63
2026-01-01T17:19:26+00:00,buy,770,606,Van,Broker,True,True,2.08,1.73,2.86,1.83,1.91,2.2,7,6,7
2026-01-01T17:19:27+00:00,sell,770,606,Van,Asset,True,True,2.05,1.95,2.19,1.96,2.03,2.13,6,5,14
2026-01-01T17:19:28+00:00,buy,770,606,Flatbed,Broker,True,True,1.9,1.33,2.17,1.82,1.91,2.06,12,5,7
2026-01-01T17:19:29+00:00,sell,770,606,Flatbed,Asset,True,True,2.32,1.68,3.33,2.01,2.23,2.64,10,6,63
2026-01-01T17:19:30+00:00,buy,770,606,Reefer,Broker,True,True,1.81,1.5,2.35,1.6,1.78,1.95,10,9,63
2026-01-01T17:19:31+00:00,sell,770,606,Reefer,Asset,True,True,1.89,1.47,2.48,1.72,1.9,1.95,8,6,63
2026-01-01T17:19:32+00:00,buy,100,303,Van,Broker,True,True,2.21,1.65,3.49,1.65,2.23,2.37,15,5,7
2026-01-01T17:19:33+00:00,sell,100,303,Van,Asset,True,True,2.37,2.09,2.71,2.15,2.34,2.58,6,5,63
2026-01-01T17:19:34+00:00,buy,100,303,Flatbed,Broker,True,True,2.47,1.68,5.02,1.99,2.12,2.24,7,5,182
2026-01-01T17:19:35+00:00,sell,100,303,Flatbed,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:19:36+00:00,buy,100,303,Reefer,Broker,True,True,2.7,1.28,4.14,2.67,2.8,2.8,43,6,182
2026-01-01T17:19:38+00:00,sell,100,303,Reefer,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:19:39+00:00,buy,303,100,Van,Broker,True,True,2.58,1.73,3.02,2.46,2.51,2.88,9,5,14
2026-01-01T17:19:40+00:00,sell,303,100,Van,Asset,True,True,3.41,2.14,7.34,2.31,2.94,3.52,17,9,182
2026-01-01T17:19:41+00:00,buy,303,100,Flatbed,Broker,True,True,3.24,3.02,3.58,3.15,3.21,3.25,6,5,28
2026-01-01T17:19:42+00:00,sell,303,100,Flatbed,Asset,True,True,3.97,2.57,4.47,3.5,4.27,4.34,30,10,364
2026-01-01T17:19:43+00:00,buy,303,100,Reefer,Broker,True,True,2.64,1.79,3.3,2.48,2.64,2.93,34,6,91
2026-01-01T17:19:44+00:00,sell,303,100,Reefer,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:19:45+00:00,buy,303,750,Van,Broker,True,True,1.69,1.44,1.9,1.64,1.67,1.74,18,6,28
2026-01-01T17:19:47+00:00,sell,303,750,Van,Asset,True,True,1.9,1.51,2.22,1.81,1.99,2.01,9,5,28
2026-01-01T17:19:48+00:00,buy,303,750,Flatbed,Broker,True,True,2.15,1.75,2.82,2.02,2.08,2.22,10,7,14
2026-01-01T17:19:49+00:00,sell,303,750,Flatbed,Asset,True,True,2.95,2.05,4.29,2.35,2.93,3.25,6,6,14
2026-01-01T17:19:50+00:00,buy,303,750,Reefer,Broker,True,True,2.16,1.66,3.15,1.92,2.1,2.34,35,8,7
2026-01-01T17:19:51+00:00,sell,303,750,Reefer,Asset,True,True,2.08,1.46,2.47,1.98,2.03,2.4,29,10,14
2026-01-01T17:19:52+00:00,buy,750,303,Van,Broker,True,True,2.66,2.23,3.78,2.33,2.5,2.76,14,6,14
2026-01-01T17:19:54+00:00,sell,750,303,Van,Asset,True,True,2.19,1.67,2.67,1.97,2.05,2.51,22,10,7
2026-01-01T17:19:55+00:00,buy,750,303,Flatbed,Broker,True,True,2.06,1.38,2.33,1.9,2.11,2.33,9,5,14
2026-01-01T17:19:56+00:00,sell,750,303,Flatbed,Asset,True,True,2.16,1.75,3.08,1.86,2,2.21,44,12,63
2026-01-01T17:19:57+00:00,buy,750,303,Reefer,Broker,True,True,3.07,2.39,4.4,2.49,2.82,3.67,14,6,28
2026-01-01T17:19:58+00:00,sell,750,303,Reefer,Asset,True,True,2.38,1.98,3.24,2.29,2.4,2.43,36,7,14
2026-01-01T17:19:59+00:00,buy,303,770,Van,Broker,True,True,1.76,1.51,2.01,1.64,1.71,1.9,8,6,28
2026-01-01T17:20:00+00:00,sell,303,770,Van,Asset,True,True,1.9,1.68,2.29,1.7,1.83,2,9,6,7
2026-01-01T17:20:02+00:00,buy,303,770,Flatbed,Broker,True,True,1.98,1.35,2.7,1.6,2.09,2.25,10,5,7
2026-01-01T17:20:03+00:00,sell,303,770,Flatbed,Asset,True,True,2.81,2.01,3.43,2.52,2.78,3.34,16,10,14
2026-01-01T17:20:04+00:00,buy,303,770,Reefer,Broker,True,True,2.04,1.73,2.48,1.91,2.02,2.13,19,9,7
2026-01-01T17:20:05+00:00,sell,303,770,Reefer,Asset,True,True,1.96,1.3,2.42,1.94,2.03,2.06,6,5,28
2026-01-01T17:20:06+00:00,buy,770,303,Van,Broker,True,True,2.46,2.1,3.49,2.16,2.32,2.33,9,7,14
2026-01-01T17:20:07+00:00,sell,770,303,Van,Asset,True,True,2.2,1.69,2.67,2.15,2.17,2.28,25,8,14
2026-01-01T17:20:08+00:00,buy,770,303,Flatbed,Broker,True,True,2.14,1.64,2.6,1.95,2.19,2.33,12,7,7
2026-01-01T17:20:09+00:00,sell,770,303,Flatbed,Asset,True,True,2.35,1.74,2.95,2.18,2.33,2.43,14,7,14
2026-01-01T17:20:11+00:00,buy,770,303,Reefer,Broker,True,True,3.09,2.51,3.87,2.93,3.03,3.26,12,7,14
2026-01-01T17:20:12+00:00,sell,770,303,Reefer,Asset,True,True,2.54,2.45,3.41,2.47,2.48,2.49,23,5,63
2026-01-01T17:20:13+00:00,buy,750,770,Van,Broker,True,True,2.65,1.17,4.67,2.42,2.43,3.16,44,17,7
2026-01-01T17:20:14+00:00,sell,750,770,Van,Asset,True,True,3.79,1.9,4.55,2.89,4.55,4.55,58,10,28
2026-01-01T17:20:15+00:00,buy,750,770,Flatbed,Broker,True,True,2.42,1.99,3.05,2.33,2.46,2.47,19,8,7
2026-01-01T17:20:16+00:00,sell,750,770,Flatbed,Asset,True,True,4.23,2.2,6.36,3.45,4.31,4.95,65,9,7
2026-01-01T17:20:17+00:00,buy,750,770,Reefer,Broker,True,True,3.39,2.99,4.61,3.07,3.24,3.41,8,7,7
2026-01-01T17:20:19+00:00,sell,750,770,Reefer,Asset,True,True,4.29,2.61,4.71,4.13,4.6,4.61,80,5,28
2026-01-01T17:20:20+00:00,buy,770,750,Van,Broker,True,True,2.74,1.87,5.51,2.3,2.35,3,23,15,7
2026-01-01T17:20:21+00:00,sell,770,750,Van,Asset,True,True,2.84,2.3,4.71,2.33,2.41,2.47,5,5,14
2026-01-01T17:20:22+00:00,buy,770,750,Flatbed,Broker,True,True,3.43,1.78,4.92,3.29,3.34,3.68,24,10,7
2026-01-01T17:20:23+00:00,sell,770,750,Flatbed,Asset,True,True,3.53,2.36,4.93,3.08,3.63,3.8,7,6,14
